id,sd,note,group_name,year,trait,subcategory,mr,author,build,category,consortium,pmid,nsnp,population,sex,ontology,unit,priority,sample_size,ncase,ncontrol
ubm-a-3042,,,public,2018.0,DKTatlas rh lateralorbitofrontal thickness,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ukb-d-4067,,,public,2018.0,Facial pains for 3+ months,,1,Neale lab,HG19/GRCh37,Binary,,,11208821,European,Males and Females,,,0,6510.0,3107.0,3403.0
prot-a-2684,,,public,2018.0,"Selenide, water dikinase 1",Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-1955,,,public,2018.0,NET100 0799,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-308,,,public,2018.0,"ES1 protein homolog, mitochondrial",Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2323,,,public,2018.0,NET100 1167,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-a-292,,,public,2017.0,Trunk fat-free mass,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,331030.0,,
ukb-b-1160,,102300: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Chocolate-covered raisin intake,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,,
ukb-b-2209,,1329: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Oily fish intake,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,460443.0,,
ubm-a-290,,,public,2018.0,IDP dMRI TBSS MD Tapetum R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-2153,,,public,2018.0,NET100 0997,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-18457,,41246#1780: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Treatment speciality of consultant (recoded): Midwife episode,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,444023.0,1497.0,442526.0
prot-a-3103,,,public,2018.0,Tumor susceptibility gene 101 protein,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-14977,,100940: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Bread consumed,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,55531.0,9418.0
ukb-b-10768,,20121: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Cascot confidence score,,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,13634.0,,
ukb-b-18018,,41200#K491: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - main OPCS: K49.1 Percutaneous transluminal balloon angioplasty of one coronary artery,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,2372.0,460638.0
ukb-d-22617_4211,,,public,2018.0,Job SOC coding: Medical secretaries,,1,Neale lab,HG19/GRCh37,Binary,,,9362160,European,Males and Females,,,0,91149.0,1040.0,90109.0
ukb-b-11413,,6159#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Pain type(s) experienced in last month: Stomach or abdominal pain,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,461857.0,39646.0,422211.0
ubm-a-1178,,,public,2018.0,NET100 0022,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-956,,20107#11: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Illnesses of father: Parkinson's disease,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,399089.0,10106.0,388983.0
ukb-b-4062,,4526: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Happiness,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,152348.0,,
ukb-a-535,,,public,2017.0,Diagnoses - main ICD10: I30 Acute pericarditis,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,337199.0,107.0,337092.0
ubm-a-2046,,,public,2018.0,NET100 0890,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-2096,,,public,2018.0,"Pro-neuregulin-2, membrane-bound isoform",Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2675,,,public,2018.0,volume Right-Inf-Lat-Vent,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
prot-a-3139,,,public,2018.0,Ubiquitin-conjugating enzyme E2 J1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2002,,,public,2018.0,NET100 0846,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-2202,,,public,2018.0,Protocadherin beta-10,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-915,,,public,2018.0,NODEamps100 0024,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-8241,,20003#1140874930: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Treatment/medication code: prednisolone,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,2626.0,460307.0
ubm-a-2485,,,public,2018.0,NET100 1329,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-2232,,,public,2018.0,NET100 1076,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-1180,,,public,2018.0,NET100 0024,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-2389,,,public,2018.0,NET100 1233,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-17599,,41200#M421: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - main OPCS: M42.1 Endoscopic resection of lesion of bladder,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1403.0,461607.0
ukb-b-11563,,104540: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Satsuma intake,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,,
ukb-b-12069,,41230#5LH: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT where patients GP was registered: TAMESIDE AND GLOSSOP PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1836.0,461174.0
prot-a-468,,,public,2018.0,Complement component C1q receptor,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1428,,,public,2018.0,Interferon gamma,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-19462,,41210#Y731: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - secondary OPCS: Y73.1 Cardiopulmonary bypass,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1420.0,461590.0
ebi-a-GCST006908,,,public,2018.0,Ischemic stroke,,1,Malik R,HG19/GRCh37,,,29531354.0,8296492,European,,,logOR,0,440328.0,34217.0,406111.0
ubm-a-336,,,public,2018.0,IDP dMRI TBSS MO Uncinate fasciculus R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ukb-a-302,,,public,2017.0,Hair/balding pattern: Pattern 3,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,154988.0,41584.0,113404.0
ukb-d-N48,,,public,2018.0,Diagnoses - main ICD10: N48 Other disorders of penis,,1,Neale lab,HG19/GRCh37,Binary,,,9784099,European,Males and Females,,,0,361194.0,1317.0,359877.0
prot-a-1230,,,public,2018.0,Glucosamine-6-phosphate isomerase 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-695,,,public,2018.0,Casein kinase II subunit alpha,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-1092,,41229#5QG: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT responsible for patient data: BERKSHIRE EAST PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,2453.0,460557.0
ukb-d-A41,,,public,2018.0,Diagnoses - main ICD10: A41 Other septicaemia,,1,Neale lab,HG19/GRCh37,Binary,,,10043467,European,Males and Females,,,0,361194.0,1096.0,360098.0
met-a-435,0.1338100973,,public,2014.0,X-08988,Unknown metabolite,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2545530,European,Males and Females,,log10 units,1,7776.0,,
met-a-472,0.2106066652,,public,2014.0,Scyllo-inositol,Lipid,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2545394,European,Males and Females,,log10 units,1,6500.0,,
ubm-a-1458,,,public,2018.0,NET100 0302,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-492,,,public,2018.0,Cyclin-dependent kinase 2:Cyclin-A2 complex,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-d-1508_4,,,public,2018.0,Coffee type: Other type of coffee,,1,Neale lab,HG19/GRCh37,Binary,,,11965520,European,Males and Females,,,0,283449.0,4791.0,278658.0
ubm-a-1989,,,public,2018.0,NET100 0833,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-d-N94,,,public,2018.0,Diagnoses - main ICD10: N94 Pain and other conditions associated with female genital organs and menstrual cycle,,1,Neale lab,HG19/GRCh37,Binary,,,9743932,European,Males and Females,,,0,361194.0,1295.0,359899.0
ubm-a-2039,,,public,2018.0,NET100 0883,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-739,,,public,2018.0,C-X-C motif chemokine 11,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-9319,,41210#M473: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - secondary OPCS: M47.3 Removal of urethral catheter from bladder,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1178.0,461832.0
ubm-a-707,,,public,2018.0,IDP dMRI ProbtrackX MO unc l,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-1372,,,public,2018.0,NET100 0216,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-5185,,103030: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Pork intake,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,64939.0,,
ukb-a-295,,,public,2017.0,Chest pain or discomfort,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,334053.0,51937.0,282116.0
ubm-a-2197,,,public,2018.0,NET100 1041,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-a-244,,,public,2017.0,Frequency of tenseness / restlessness in last 2 weeks,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,325169.0,,
prot-a-3153,,,public,2018.0,Ubiquitin-fold modifier-conjugating enzyme 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-a-186,,,public,2017.0,Treatment/medication code: omacor 1g capsule,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,337159.0,413.0,336746.0
ukb-b-19790,,41249#3001: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Methods of admission to hospital (recoded): Maternity admission: Post-partum,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462473.0,13017.0,449456.0
ukb-b-13038,,20002#1494: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Non-cancer illness code, self-reported: varicose veins",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,1652.0,461281.0
ukb-b-7881,,41200#W822: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - main OPCS: W82.2 Endoscopic resection of semilunar cartilage NEC,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,9746.0,453264.0
prot-a-1826,,,public,2018.0,Mucosal addressin cell adhesion molecule 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2384,,,public,2018.0,NET100 1228,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-14177,,6150#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Vascular/heart problems diagnosed by doctor: High blood pressure,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,461880.0,124227.0,337653.0
met-a-349,0.1209342696,,public,2014.0,Heptanoate (7:0),Fatty acid,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2545680,European,Males and Females,,log10 units,1,7802.0,,
met-b-123,15.12939227,Female twins,public,2015.0,NKT:%4+R5-,Immune cell subset frequency,1,Roederer,HG19/GRCh37,Immune system,,25772697.0,1626158,European,Females,,%,1,497.0,,
ubm-a-2633,,,public,2018.0,NET100 1477,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-2214,,,public,2018.0,NET100 1058,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-1030,,,public,2018.0,Protein FAM171B,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-15297,,6147#7: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Reason for glasses/contact lenses: Other eye condition,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,460536.0,1615.0,458921.0
prot-a-1676,,,public,2018.0,Histone-lysine N-methyltransferase 2C,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-a-120,,,public,2017.0,Treatment/medication code: tranexamic acid,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,337159.0,439.0,336720.0
prot-a-2002,,,public,2018.0,N-acetyltransferase 14,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-a-451,,,public,2017.0,Medication for cholesterol  blood pressure  diabetes  or take exogenous hormones: Hormone replacement therapy,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,180203.0,13365.0,166838.0
prot-a-2341,,,public,2018.0,Peptidyl-prolyl cis-trans isomerase E,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-20447,,100011: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Iron,,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,64979.0,,
ukb-d-L12_ATROPHICSKIN,,,public,2018.0,Atrophic disorders of skin,,1,Neale lab,HG19/GRCh37,Binary,,,10231534,European,Males and Females,,,0,361194.0,1757.0,359437.0
ubm-a-2850,,,public,2018.0,DKTatlas rh transversetemporal area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
prot-a-2667,,,public,2018.0,P-selectin,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1869,,,public,2018.0,Malignant T-cell-amplified sequence 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-33,,,public,2018.0,IDP T1 FAST ROIs R mid front gyrus,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8427.0,,
ukb-b-6762,,41230#5EM: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT where patients GP was registered: NOTTINGHAM CITY PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,3838.0,459172.0
ebi-a-GCST004423,,,public,2016.0,Macrophage Migration Inhibitory Factor levels,,1,Ahola-Olli AV,HG19/GRCh37,,,27989323.0,9537573,European,,,,0,3494.0,,
ukb-d-22601_24423108,,,public,2018.0,"Job coding: social worker, child care/protection officer, adoption officer, mental health officer, almoner, family case worker",,1,Neale lab,HG19/GRCh37,Binary,,,9954298,European,Males and Females,,,0,89866.0,1488.0,88378.0
ubm-a-918,,,public,2018.0,NODEamps100 0027,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-2089,,,public,2018.0,Mineralocorticoid receptor,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-4170,,41230#5E7: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT where patients GP was registered: EASTERN WAKEFIELD PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1188.0,461822.0
ukb-b-13782,,41204#Z867: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Diagnoses - secondary ICD10: Z86.7 Personal history of diseases of the circulatory system,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,10173.0,452837.0
ubm-a-1225,,,public,2018.0,NET100 0069,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-2872,,,public,2018.0,a2009s rh G occipital sup area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ukb-a-247,,,public,2017.0,Seen a psychiatrist for nerves  anxiety  tension or depression,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,335888.0,38008.0,297880.0
met-a-382,0.06028749668,,public,2014.0,N1-methyladenosine,Nucleotide,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2545622,European,Males and Females,,log10 units,1,7813.0,,
ubm-a-544,,,public,2018.0,IDP dMRI TBSS OD Superior cerebellar peduncle R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-2788,,,public,2018.0,a2009s lh Pole occipital area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ukb-b-18349,,20002#1666: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Non-cancer illness code, self-reported: benign breast lump",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,1335.0,461598.0
ukb-d-FIBRO_COMORB,,,public,2018.0,Fibromyalgia related co-morbidities,,1,Neale lab,HG19/GRCh37,Binary,,,10692533,European,Males and Females,,,0,361194.0,2305.0,358889.0
ebi-a-GCST005186,,,public,2012.0,Fasting blood glucose,,1,Manning AK,HG19/GRCh37,,,22581228.0,2599409,European,,,,0,58074.0,,
prot-a-676,,,public,2018.0,Quinone oxidoreductase-like protein 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ebi-a-GCST004633,,,public,2016.0,Neutrophil percentage of white cells,,1,Astle WJ,HG19/GRCh37,,,27863252.0,29166313,European,,,,0,171542.0,,
prot-a-2331,,,public,2018.0,Periostin,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2829,,,public,2018.0,DKTatlas rh lateraloccipital area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ubm-a-2508,,,public,2018.0,NET100 1352,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-11800,,41230#5C3: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT where patients GP was registered: CITY AND HACKNEY TEACHING PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1221.0,461789.0
ukb-b-12047,,41202#I200: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Diagnoses - main ICD10: I20.0 Unstable angina,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,3700.0,459310.0
prot-a-2124,,,public,2018.0,Neurotensin/neuromedin N,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
met-a-375,0.1110136721,,public,2014.0,Kynurenine,Amino acid,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2545666,European,Males and Females,,log10 units,1,7816.0,,
ubm-a-1902,,,public,2018.0,NET100 0746,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-2885,,,public,2018.0,a2009s rh G temp sup-G T transv area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
prot-a-1373,,,public,2018.0,Activator of apoptosis harakiri,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-1997,,5057: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Number of older siblings,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,133020.0,,
prot-a-1023,,,public,2018.0,Protein FAM134B,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-717,,,public,2018.0,IDP dMRI ProbtrackX L1 cst l,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-1885,,,public,2018.0,Microfibrillar-associated protein 2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-11862,,20003#1140876136: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Treatment/medication code: beconase 50micrograms nasal spray,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,3039.0,459894.0
prot-a-584,,,public,2018.0,Chloride intracellular channel protein 5,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-19813,,41202#M5456: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Diagnoses - main ICD10: M54.56 Low back pain (Lumbar region),,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1423.0,461587.0
ebi-a-GCST004602,,,public,2016.0,Mean corpuscular volume,,1,Astle WJ,HG19/GRCh37,,,27863252.0,29166707,European,,,,0,172433.0,,
ukb-b-8537,,100023: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Starch,,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,64979.0,,
ukb-d-3942,,,public,2018.0,Adopted mother still alive,,1,Neale lab,HG19/GRCh37,Binary,,,9421415,European,Males and Females,,,0,3812.0,1078.0,2734.0
prot-a-1063,,,public,2018.0,"Fructose-1,6-bisphosphatase 1",Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1850,,,public,2018.0,Mitogen-activated protein kinase 9,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-2876,,,public,2018.0,Stress-induced-phosphoprotein 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1591,,,public,2018.0,Integral membrane protein 2C,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-d-22617_1113,,,public,2018.0,Job SOC coding: Senior officials in local government,,1,Neale lab,HG19/GRCh37,Binary,,,9699794,European,Males and Females,,,0,91149.0,1277.0,89872.0
prot-a-1043,,,public,2018.0,Protein FAM19A5,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-2490,,,public,2018.0,Rap1 GTPase-GDP dissociation stimulator 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-520,,,public,2018.0,Complement factor H,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
